Ob,X500.Level,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,WAB,YEAR,NCAA,Power.Rating,Adjusted.Tempo,W.P
941,YES,106.1,112.9,51.7,50.2,19.3,15.8,33.6,31.2,49.3,29.8,50.7,48.9,35.8,35.6,-9.7,2014,NO,MEDIUM,67.6,0.51070249
942,YES,123.2,94.5,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,6.6,2021,YES,LARGE,68.8,0.872396873
943,NO,97.1,110.5,48.9,51.5,20.6,16.4,29.2,27.7,23.2,31.3,48.3,49.5,33.1,36.7,-12.2,2021,NO,SMALL,66.3,0.211452011
944,NO,98.1,106.4,46.1,50.7,18.8,18.1,33.8,25.9,32,30.1,47.5,50.4,29.3,34,-11.7,2020,NO,SMALL,62.2,0.442058376
945,NO,100,103.3,46.4,50,18.7,20.2,32.3,31.1,36.5,43.4,45.7,50.7,32.2,32.6,-12.6,2014,NO,MEDIUM,64.5,0.327248396
946,YES,110.8,100,57.1,45.7,13.8,16.6,27.9,25.6,31.1,25.1,55.4,49.5,40.2,26.1,0.3,2021,YES,LARGE,71.9,0.912313111
947,NO,96.1,109,48.4,53.2,17.9,18.1,24.7,29,38.5,42.3,47.8,51.2,33.1,38.6,-16.2,2015,NO,SMALL,68,0.16434964
948,NO,95.8,109.5,50.1,54.8,22.6,18.1,26.5,27.8,27,26.7,51.6,56,32.1,35.3,-16.8,2021,NO,SMALL,69.2,0.111467977
949,YES,118.2,98.6,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,2,2016,YES,LARGE,69.2,0.365110619
950,NO,100.7,103.5,45.8,50.1,18.5,19.5,32.6,30.5,38.5,50.3,45.7,47.9,30.8,36.1,-11.8,2014,NO,MEDIUM,68,0.360403512
951,YES,105.1,95.3,50.6,49.9,18.3,18.5,28.6,26.3,32.5,30.1,48.5,49.6,36.1,33.7,-1.5,2017,NO,LARGE,68.1,0.502020764
952,YES,100.7,104.5,50.6,50.1,19.8,16.7,29.1,25.6,30.3,27.7,48.6,49.8,35.7,33.8,-7.3,2021,NO,MEDIUM,66.7,0.40458388
953,NO,94.1,104.8,44.5,52.6,19.3,17.2,27.3,25.1,30.8,38,44.4,52.6,29.7,35.1,-14.7,2019,NO,SMALL,69.9,0.320498685
954,NO,99.9,102.1,49.2,47.1,21.3,13.4,31.3,30.5,37.2,25.1,50.1,46.4,31.8,32.3,-10.1,2016,NO,MEDIUM,68.6,0.288614919
955,NO,102.3,97.9,47.5,53,17.3,18.6,26,25.2,29.4,28.5,46.8,53.4,32.3,35,-3.6,2021,NO,LARGE,64.6,0.241344208
956,YES,112.4,92.8,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,2.2,2016,YES,LARGE,68.8,0.679440058
957,NO,93.9,114.3,48.1,51.6,18.3,16.4,26.1,35.1,34.1,31.5,48.3,49.1,31.8,37.1,-17.8,2015,NO,SMALL,66.3,0.080263738
958,NO,97,105,47.1,50.6,21,15.1,27,30.9,32.8,31.6,46.7,50.7,31.8,33.6,-17.2,2019,NO,SMALL,71.2,0.08312958
959,YES,108.2,101.3,52,49.6,19,15.1,30.8,27.1,38.2,27.6,51.4,47.9,35.5,34.7,-5.2,2019,NO,LARGE,74,0.454842255
960,NO,108.3,109.4,50.2,54.6,19.8,16.9,31.2,31.3,31.5,36.9,50.2,52.9,33.6,38.2,-8.8,2017,NO,MEDIUM,73.4,0.235863662
961,YES,107.7,98.6,48.2,47.7,18.7,18,34.7,33.2,38.1,38,46,49,35,30,-2.3,2015,NO,LARGE,66.2,0.474203751
962,YES,106.9,103.3,52.5,47.5,19.2,16.8,26.5,25.3,44,41.2,48.5,45.7,38.6,35,-5.5,2014,NO,MEDIUM,61.7,0.609700794
963,NO,96.9,107.5,46.2,50,17.9,17.3,29.3,27.9,32.6,30.1,45.8,48.1,31.3,35.5,-16.3,2020,NO,SMALL,63.2,0.185449713
964,YES,116.1,95.3,54,51.9,15.7,19.5,27.6,24.6,26.1,35.3,54.3,49.5,35.7,37.3,1.7,2018,YES,LARGE,69.1,0.470740144
965,NO,99.9,106.1,50.5,50.1,21.4,16,29.8,26.5,28.8,29.6,49,51.1,35.3,31.9,-12.8,2020,NO,MEDIUM,67.5,0.404914583
966,YES,121.3,94.3,57.5,47.6,15.3,18.4,33.6,22.7,38.8,21.8,57.4,47.4,38.6,32,7.7,2020,YES,LARGE,72,0.813847372
967,YES,102.9,106.2,52.4,49.5,17.1,19.2,24.5,31.7,40.9,36.6,51.3,48.3,36.5,34.2,-9.7,2016,NO,MEDIUM,72.5,0.538528148
968,NO,102.3,107,54.4,52.7,18.3,15.6,24.5,26,31.3,30,55.8,51.1,35,36.9,-11.1,2019,NO,MEDIUM,70,0.436237779
969,NO,97.4,104.1,45.1,51.6,18,16.5,28.9,27.5,37.5,28.6,43.5,48.9,32,37.8,-12.6,2017,NO,MEDIUM,70.1,0.246271769
970,YES,96.2,100.2,45.9,46.8,22.8,21,36,32.9,45.4,37.7,44.6,45.7,32.4,33,-7.8,2013,NO,MEDIUM,68.5,0.51591637
971,NO,80.1,104.3,43.1,48.9,26.2,20.6,27.1,30.7,37.4,46.3,44.6,50.2,26.3,31.1,-20,2020,NO,SMALL,66.1,0.063669899
972,NO,110.2,100.1,49.1,50.8,18.9,18.8,32.5,28.7,33.9,26.6,47.8,48.1,34.6,36.4,-2.7,2020,NO,LARGE,70.1,0.424711999
973,YES,120.7,97.1,52,50.1,16.7,16.3,37.4,25.5,28,26,51,45.3,35.9,38,7.1,2018,YES,LARGE,72.6,0.652300411
974,YES,95,110.3,50.4,48.5,20.8,16.8,32.9,29.7,30.3,34.3,51.3,48.1,32.3,32.8,-12,2018,NO,SMALL,66.4,0.409805781
975,YES,103.6,97.3,48.5,49.8,17.5,17,24.5,22.1,31.3,25.6,47.3,46.4,33.5,37,-7.1,2018,NO,LARGE,63.7,0.528872504
976,YES,108.5,105.3,51,50.4,18.4,16.2,32.9,24.6,33.8,33,48.8,49.2,36.2,35,-8.5,2017,NO,MEDIUM,67.4,0.480334714
977,YES,98.4,109.8,45.9,50.3,21,19.6,31.8,30.4,41.1,34.3,45.9,49.2,30.5,34.9,-8.9,2020,NO,SMALL,72.7,0.448896223
978,NO,98.8,111.3,47.8,54.1,19.4,17.5,29.3,29.4,33,45.9,47.2,53.5,32.4,36.8,-15.3,2018,NO,SMALL,70.5,0.233652971
979,YES,102.4,103.3,50.5,48,19.4,18.7,32.5,32.7,43.8,43.2,49.9,46.3,34.4,35,-4.9,2015,NO,MEDIUM,65.3,0.655663067
980,NO,99.8,96.9,44.6,47.3,17.7,19.6,30.3,34.5,29.2,30.5,43.2,48.5,31.3,29.9,-6.8,2013,NO,MEDIUM,60.4,0.199233213
981,NO,99.9,112,48,50.7,18.7,15.3,29.6,31.8,33.6,27.6,47.1,51.3,32.9,32.9,-7,2021,NO,SMALL,66.5,0.496477113
982,NO,98.6,98,45.3,48.1,18.1,18.5,30.8,21.7,28.8,34,46,46,29.3,33.8,-11.4,2020,NO,MEDIUM,66.4,0.187604979
983,YES,100.9,98.8,50.2,46.3,19.3,20,27.9,32.1,28.6,37.6,51.9,44.3,31.7,33.6,-8.3,2020,NO,MEDIUM,74.8,0.489378748
984,YES,99.7,102.2,48.8,49.5,16.4,19.7,30.9,29,33,39.4,47.4,49.6,34.6,32.9,-6.5,2014,NO,MEDIUM,62.1,0.419875878
985,YES,105,108.7,51.8,49.2,19.3,15.8,35.3,28.4,41.5,24.6,52.3,48.7,33.8,33.5,-7.7,2016,NO,MEDIUM,68.4,0.515113761
986,NO,94.9,103.2,47.1,49.1,18.8,19.8,29.4,32.9,36.5,33.7,45.7,48.4,33.2,33.8,-11.4,2013,NO,SMALL,67.8,0.282086909
987,NO,97.3,114.5,51.3,52,20.3,16,31,36.2,27.4,37,50.2,51.7,35.1,35.1,-14.8,2014,NO,SMALL,63.8,0.150431038
988,NO,100.7,117.7,49.7,53.9,18.2,17.2,31.1,32.8,31.9,33.3,47.6,53.4,37.2,36.9,-16.1,2013,NO,SMALL,65,0.159303497
989,NO,93.7,92.4,46.8,46.2,25.7,23.1,31.8,32.4,45.8,46.6,44.7,43.2,33.7,34.9,-10.9,2013,NO,MEDIUM,62.5,0.434663719
990,YES,106.4,96.5,54.9,47.5,20,19.9,24.6,26,33.9,27.8,55.7,49.6,36,29.9,0.2,2021,YES,LARGE,69.3,0.542361252
991,YES,114.2,102.9,51.2,47.8,19,15.9,34.7,30.7,52.5,37.7,51,46.6,34.4,33.2,1.3,2014,YES,LARGE,66.4,0.45729594
992,YES,103.2,104.1,51.9,45.3,17.9,17.5,31.4,33,31.2,29.8,50.7,44.5,35.6,31.7,-7.7,2013,NO,MEDIUM,64.3,0.484903645
993,NO,103.4,108.2,51,54.8,16.4,18.3,29.7,27.7,33.2,30.9,47.7,52.7,38.2,39.3,-12.7,2016,NO,MEDIUM,71.2,0.288625737
994,NO,98.8,94.7,46.1,45.9,17.3,16.4,22.5,30.6,35.5,38,46.1,45.3,30.6,31.5,-4.2,2014,NO,LARGE,62,0.269946234
995,NO,106.5,107.9,54.4,53.1,17,16.2,23.9,27.1,31.9,29.5,55.5,53.5,35.2,35,-13,2019,NO,MEDIUM,68.5,0.313069322
996,YES,108.8,102.5,54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,55.5,48.7,35.9,35,-2.5,2018,NO,LARGE,75.9,0.620656389
997,NO,97.3,106.6,48.4,51.8,20.4,21.9,29.1,29.3,30.2,35.7,50.1,51.6,30.2,34.8,-15.7,2020,NO,SMALL,70,0.370900916
998,YES,116.7,100.4,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,51.2,48.2,39.5,35.7,2.8,2018,YES,LARGE,71.1,0.607639939
999,NO,95.5,102,43.9,49.2,18.2,16.6,28.5,27.5,29,32.6,42.3,49.1,31.9,32.9,-12.7,2018,NO,MEDIUM,70.2,0.32161438
1000,YES,104.1,111.9,52,51.4,15.7,17.9,25.7,31.5,45.3,39.6,51.8,50.6,35,35.5,-6,2015,NO,MEDIUM,67.7,0.543799918
1001,NO,91.1,110.1,45.1,49.4,22,19.5,33.4,34.5,32.2,38,44.8,47.6,30.6,35.2,-17.2,2013,NO,SMALL,67,0.266524404
1002,YES,97,108.1,48.8,53.2,21.9,22.3,32.6,30.9,41.5,38.3,47.3,51.6,35.6,37.6,-10.7,2018,NO,SMALL,67.1,0.254900667
1003,YES,103.9,99.7,48.9,47.7,20,20.3,31.3,29,37.8,35.6,46.6,46.2,35.6,33.3,-5.6,2018,NO,LARGE,67,0.547390146
1004,YES,107,91.1,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42,35.1,34.6,6.9,2013,YES,LARGE,65.4,0.811764259
1005,YES,107.7,101.1,54.1,47.5,16.5,16.5,23.9,25.8,30.4,27.7,54.2,47.6,35.9,31.6,-3.6,2021,NO,LARGE,72.2,0.715171988
1006,NO,109,100.5,52.8,49.1,16.5,18.1,27,29.9,27.6,30,50.3,48.4,38.2,33.4,-7.1,2019,NO,LARGE,71.2,0.424139436
1007,NO,99.2,103.3,46.7,50.1,19.2,18.7,27.2,26.4,36.8,40.2,49,49.7,28.1,33.7,-12,2020,NO,MEDIUM,70.5,0.315456238
1008,YES,110.4,96.3,48.2,49.5,17.1,16.9,31.4,28.4,41.6,28.2,48.5,48.7,31.7,34,2.7,2019,YES,LARGE,68.8,0.470314864
1009,YES,103.8,104.4,49.9,49.9,19.8,21.6,31.9,35.1,35,31.9,51.1,49.5,32.2,33.8,-6.7,2019,NO,MEDIUM,71,0.366511433
1010,YES,108.6,96.3,47.8,46.4,19.9,21.9,34.1,29.4,34.6,34.6,47.4,45,32.4,33,-2.2,2020,NO,LARGE,68.3,0.427233711
1011,NO,98.2,104.2,54.4,52.3,22.6,19.4,24.3,27.2,42.5,40.3,54.9,51.7,35.6,35.3,-14.9,2019,NO,MEDIUM,71.9,0.276134286
1012,YES,108.1,95.9,51,47.5,17.8,21,31.3,27.5,36.4,40.9,51.5,46,33.1,33.8,1.3,2017,YES,LARGE,70.1,0.709336016
1013,YES,108.3,103.6,49.4,47.5,17.4,14.8,33.1,25.8,27.3,30.4,49.4,46,32.9,33.5,-8,2018,NO,LARGE,66.7,0.422188679
1014,YES,102.8,100.1,52.2,48.7,18.7,18.9,20.8,26.5,35.9,37.8,52.1,47.2,34.9,34.5,-5.2,2020,NO,MEDIUM,71.5,0.491406814
1015,NO,89.2,111.1,43.8,49.8,21,17.4,31.8,31.9,36.9,36,43.9,48.8,28.9,34.9,-16,2013,NO,SMALL,66.1,0.237845533
1016,NO,94.9,106.9,49.1,52,19.3,17.5,20.8,25.3,36.3,38.1,49.5,54.5,32.1,32.4,-18.1,2020,NO,SMALL,70.9,0.205255089
1017,YES,100.7,103.4,49.2,48.9,17.7,22.5,30.9,33.2,37.7,44.5,48.2,46.6,34.1,35.2,-1.9,2016,NO,MEDIUM,69.3,0.584426636
1018,YES,116.2,104.6,52.2,47.3,15.4,18.4,35.8,33.3,34.4,36,52.1,48.3,34.8,30.3,-1.2,2016,NO,LARGE,67.3,0.528378979
1019,YES,107.1,104.7,51.8,48.4,19.2,17.2,31.9,26,36.3,26.9,51,48.7,35.5,31.8,-5.8,2020,NO,MEDIUM,66.8,0.631134946
1020,YES,110,93.5,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27,47.7,41.3,34.8,35.7,0.3,2016,YES,LARGE,66,0.652502835
1021,YES,96,105,50.2,50.4,18.9,16.9,23.2,24.7,39.4,38,50,48,33.7,36.1,-12,2019,NO,SMALL,72.2,0.314248263
1022,NO,107,108.4,52.2,52.2,16.1,18.6,25,30.5,40,41.2,52.3,51.7,34.7,35.5,-10.3,2014,NO,MEDIUM,68,0.371195298
1023,YES,113.7,93.5,52,47.7,16.8,19.8,30.9,25.6,29.9,28,50.3,46.5,36.7,33.3,2.6,2021,YES,LARGE,66.3,0.624834965
1024,NO,95.4,115.7,50.5,55.9,18.8,16.9,22.1,33.7,24.2,31.6,48.6,54.5,36.1,39.2,-20,2013,NO,SMALL,66.2,0.121018023
1025,NO,99.8,105,47.6,54.9,18.8,20.6,27.4,28.8,32,33.3,46.8,51.3,32.5,39.7,-11.8,2018,NO,MEDIUM,66.9,0.287416678
1026,NO,96.8,103,49.3,50.6,17.8,17.4,19,27,30.9,36.4,49,48.8,33.1,35.3,-13.7,2018,NO,MEDIUM,68.9,0.250247307
1027,NO,99.4,114.2,49.1,53.3,16.3,18.5,18.9,35.8,33.2,41.1,45.6,54,35.4,34.7,-17.7,2016,NO,SMALL,70.2,0.235019461
1028,NO,105.5,93.3,50.4,44.1,21.3,19.3,27.4,31.8,37.9,31.4,51.4,42.4,32.5,31.2,-5,2020,NO,LARGE,69.6,0.388995455
1029,NO,96.5,103.6,49.8,51.2,19,19.8,23.2,30.8,31.5,41.2,49,50.4,34.1,35.3,-13.7,2015,NO,MEDIUM,63.7,0.292517971
1030,NO,100.4,101,48.9,51.1,17.9,18.2,23.2,23.1,27.6,32.4,46.2,51,35,34.2,-11,2019,NO,MEDIUM,65.6,0.129660925
1031,YES,114.8,101.4,50,47.5,15.8,17.4,34.1,35.6,37,42.6,51.5,47.3,30.5,32.1,0.6,2014,YES,LARGE,66.5,0.59077156
1032,YES,113.4,94.5,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,46.8,46.5,35.8,33.3,5.4,2013,YES,LARGE,63,0.703684184
1033,YES,110.3,109.9,46.8,48,17.6,12,41.9,27.2,48.1,36.2,44.6,46.5,35.7,34.7,-4.9,2014,NO,MEDIUM,69.9,0.604132688
1034,YES,106.7,100.2,51.9,47.2,16.9,18.1,28.8,28.2,40.4,41.2,48.6,45,38.1,34.7,-4.7,2015,NO,LARGE,66.4,0.633729562
1035,NO,109.3,98.8,50.8,52,16.9,19.8,25.9,29.8,30.8,22.7,51.4,51.7,33.3,34.9,-5.1,2019,NO,LARGE,68.3,0.394731483
1036,YES,94.4,105.2,48.2,46.9,19.7,19.2,36,29.2,34.6,35.6,46.4,45.3,35.4,33.6,-7.2,2015,NO,SMALL,68,0.57990105
1037,YES,110.6,91,50,45.3,19.4,20,38,26.5,36.5,38.3,49.6,43.6,33.9,32.2,2.2,2013,YES,LARGE,65,0.666949602
1038,NO,92,106.2,42.1,52.5,18.3,17.6,30.8,29.6,28.8,32.3,41.7,53.2,28.5,34.4,-16.2,2017,NO,SMALL,66.1,0.077723642
1039,YES,108.9,105.2,48.8,49.9,17.5,16.5,37.7,26.4,42.2,35.5,49.9,47,31.1,37.8,-7.5,2016,NO,LARGE,71.3,0.467139965
1040,NO,101.6,107.5,50.5,52.3,16.1,18.3,20.3,31,34,35.6,47.5,51.7,37.5,35.8,-10.6,2017,NO,MEDIUM,74.1,0.36579937
1041,NO,90.9,109.4,48.4,53.5,24.1,21.9,27.3,34.1,31.5,39.6,46.6,53.1,34.8,36.2,-18,2013,NO,SMALL,66.1,0.11189385
1042,YES,97.3,99.6,50.4,47.6,19,20.4,24.8,28.6,28.6,25,51.3,50.7,32.7,28.7,-4.9,2021,NO,MEDIUM,66.9,0.514694957
1043,NO,100.1,110.2,48.9,52.7,18.5,22.5,31.3,32.8,39.2,47.9,49.2,54.4,32.3,33.2,-11.7,2018,NO,SMALL,72.1,0.470257999
1044,NO,97.2,108.4,49.5,52.8,22,19.5,30.9,27.1,35,33.3,49.2,50.5,33.5,37.9,-15.1,2017,NO,SMALL,72.7,0.334100705
1045,YES,115.6,101.3,53.4,51.6,16.8,20.4,33.4,32,34.2,33.7,52.1,53.6,37.2,31.6,0.9,2018,YES,LARGE,72.8,0.512501206
1046,YES,98.6,105.2,51.3,49.2,20.4,15.9,24.6,24.3,32.3,34.8,47.4,49.8,37.6,31.3,-8.1,2021,NO,MEDIUM,68.1,0.573497388
1047,YES,108.3,115.5,53.9,54.1,17.2,19,33.4,30.9,37.6,40.7,52.7,52.7,37.9,37.9,-8.8,2014,NO,MEDIUM,64.4,0.435698762
1048,YES,110.1,95,51.8,48,17.6,19.6,36.1,22,30.5,36.3,51.4,46.8,35.2,33.3,-0.7,2021,NO,LARGE,68,0.392695798
1049,NO,94.2,103.6,48.6,51.6,19.8,18.2,19.3,30.6,33.5,31.2,47,51,34.4,35,-14.6,2020,NO,SMALL,69.1,0.162816278
1050,YES,104.4,106.5,50.1,50,21.9,18.4,35.9,27.8,34.7,45.8,50.4,49.7,33.1,33.6,-10.6,2020,NO,MEDIUM,72.5,0.502706439
1051,NO,102.5,103.2,51.4,46.1,22.6,16.1,32.7,31.1,45.8,43.9,50.7,43.8,35,34.1,-8.6,2014,NO,MEDIUM,65.4,0.399772646
1052,NO,88.5,117.3,44.2,57.8,22.5,16.7,22.1,33.9,33.1,33.9,43.5,57.9,30.7,38.5,-20.9,2019,NO,SMALL,71.9,0.076345249
1053,YES,115.2,85.2,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,7,2019,YES,LARGE,67.5,0.615797564
1054,YES,106.8,105.1,51.6,52.2,17.8,19.2,28.7,26.2,34.1,40.8,50.1,51.1,36.1,36.1,-9,2016,NO,MEDIUM,65.3,0.454110356
1055,YES,106,92.1,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,-0.4,2018,NO,LARGE,64,0.573902379
1056,YES,105.3,90.5,47.3,47.3,22.9,22,33.1,29.5,50.6,40.9,46,42.4,33.2,37.3,0.3,2013,YES,LARGE,67.7,0.402551545
1057,YES,92.4,106.4,47.8,46.8,21.6,21,26,31.6,41.9,38.1,47,44,33.3,34.3,-9.2,2021,NO,SMALL,70,0.47817048
1058,NO,110.2,100.4,48.3,47.7,15.8,16.4,29.9,28.7,39.4,47.9,48.6,44.9,31.9,35.2,-3.7,2014,NO,LARGE,66.2,0.331823352
1059,NO,103.9,111.2,47.5,51.4,18.7,21.2,36.3,37.1,41.9,51,46.6,49.9,33.2,36.2,-15.2,2015,NO,MEDIUM,66.7,0.198734268
1060,YES,106.8,94.7,45.9,48.2,15.1,22.7,30,31.4,30,36.2,44.9,48.7,32.1,31.7,-2.5,2020,NO,LARGE,73,0.431100898
1061,NO,100.4,106.7,50.5,48.1,22.3,16.6,32.5,31.4,38.4,32.2,47.6,45.7,37,36,-13.3,2017,NO,MEDIUM,73.2,0.32036808
1062,NO,91.1,106.5,44.5,49.9,20.3,17.8,28.5,30.4,33.3,37,44.4,49.1,29.8,34.3,-14.4,2015,NO,SMALL,62.4,0.24752406
1063,NO,102.9,103.1,48.1,53.8,20.4,20,29.9,30,35.6,40.2,47.7,53.6,32.6,36.1,-10.8,2017,NO,MEDIUM,69.1,0.27958999
1064,NO,94,114,48.8,52.5,20.9,16.1,26.5,34.9,40.6,29.9,48.9,51,32.4,37,-16,2014,NO,SMALL,65.2,0.093443117
1065,YES,102.4,107.9,51.6,52,16.3,17.7,24.2,26,27.1,33.5,47.8,50.1,38.2,36.6,-7.4,2021,NO,MEDIUM,64,0.413149208
1066,YES,102.3,98.6,50.3,46.7,19.5,21.8,29.6,32.6,35.6,40.3,48.4,43.7,35.4,34.5,-5.6,2013,NO,LARGE,62.8,0.646683488
1067,NO,96,102.6,46.8,49.5,16.4,19.1,25.1,28,24.5,36.9,44.7,49.6,33,32.9,-14.9,2019,NO,MEDIUM,66.3,0.252714488
1068,NO,89.4,106.6,43.7,46.6,20.5,17,27.3,29.1,32.3,43.8,39.7,46.5,32.9,31.3,-19.3,2014,NO,SMALL,62.7,0.151113879
1069,YES,105.3,104.4,48.8,50.4,17.1,21.5,33.6,35,35.3,50.8,48,50.2,33.6,33.9,-10.2,2017,NO,MEDIUM,69.6,0.486421884
1070,NO,105.7,97,48.3,47.1,19.1,17.5,28.8,32.3,38.3,40.9,47.8,44.7,32.8,34.2,-6.7,2016,NO,LARGE,65.1,0.063032848
1071,YES,103.9,110.7,49.1,53.2,19.3,18.5,35.7,28.6,37.8,38.7,48.6,52.6,33.5,36.2,-7.7,2017,NO,MEDIUM,71.6,0.562070141
1072,NO,98.3,105.4,46,48.3,20.1,19,33.4,26.9,37.7,48.7,45,44.4,32,36.6,-14.6,2015,NO,MEDIUM,61.1,0.321489425
1073,YES,121.5,94.5,56.1,48.1,17.6,18.6,34.1,29.7,36,30,53.6,45.3,40.4,35.6,11,2017,YES,LARGE,71.4,0.800433938
1074,NO,101.1,103.6,49.7,52,19.3,21.2,29.4,29.8,32.4,48.3,46.3,53,37.9,33.7,-10.3,2015,NO,MEDIUM,68,0.245419183
1075,YES,113.3,100.6,52.2,50.1,15.7,17.9,31,31.4,36.8,24,51,47.2,36.2,36.8,1.3,2017,YES,LARGE,70.1,0.6746925
1076,NO,101,105.5,49.7,51.1,19.7,16.7,24.4,28.6,36.1,25,50.4,50.8,32.3,34.3,-8.7,2021,NO,MEDIUM,68.6,0.212665574
1077,YES,99.2,102.5,50.9,50.1,18.1,18,25.1,23.8,27.7,27.4,50.9,46.5,33.9,37.4,-10.9,2018,NO,MEDIUM,66.8,0.466705505
1078,YES,101.7,108.2,48.7,54.3,16.7,18.7,32.9,29,31.6,26.3,50.1,54.1,30.9,36.4,-9.3,2021,NO,MEDIUM,67.4,0.546582789
1079,NO,98.4,105.3,48.6,48.8,19.6,20.8,29.1,35.2,35.1,43.3,46.9,47.2,34.5,34.9,-13.9,2013,NO,MEDIUM,70.2,0.275713189
1080,YES,110,98.4,50.1,48.7,16.1,18,34.1,25.4,41.9,33.3,49,45.7,34.8,36.2,1.2,2015,YES,LARGE,67.1,0.775235408
1081,NO,91.5,111.2,44.7,50.5,20.9,19,30.4,36.6,38.6,35.4,45.6,50.1,28.2,34.1,-16.3,2015,NO,SMALL,64.4,0.198524405
1082,NO,108,110.9,45,52.5,16.4,18,35.4,35.6,33.4,42.3,44.5,51.9,30.6,35.7,-10.3,2014,NO,MEDIUM,69.3,0.279381575
1083,NO,100.9,109.3,51.3,53.8,18.9,17.5,31.1,28.5,30.6,36.2,47.7,52.8,41.2,37.3,-13,2017,NO,SMALL,70.6,0.3517274
1084,NO,97.6,103.8,45.4,47.2,21.9,14.3,34.6,32.5,33,35.6,46.2,46.9,28.6,31.9,-14.8,2016,NO,MEDIUM,67.7,0.059638124
1085,NO,108.7,103,50.9,49,17.1,16.7,32.1,29.3,39.5,43.9,47.9,46,39.4,36.9,-7.6,2014,NO,LARGE,67.2,0.388625512
1086,NO,103.6,97.9,49.1,45.7,20.6,16.5,29.9,34.6,41.2,35.3,49.8,45.8,31.9,30.4,-4.6,2014,NO,LARGE,63.9,0.381492852
1087,NO,97.4,104.6,51.3,52.5,17.9,17.3,21,25.4,27.2,30,49.6,52.2,36,35.3,-12.8,2019,NO,MEDIUM,71.1,0.386066774
1088,YES,103.1,103.8,50.8,47,17.7,19,29.4,32.3,35.9,38.4,49.2,45.9,35.5,32.7,-8.9,2015,NO,MEDIUM,66.2,0.312234225
1089,NO,98,110.6,48.1,54.1,18.7,17.8,29.2,29.4,39.7,47,47.5,51.8,32.6,38.3,-12,2015,NO,SMALL,68.2,0.309529705
1090,NO,106.1,108.5,53.6,48.9,20,16.1,28.5,32.4,37.6,30.1,52.2,49.3,37.2,32,-12.1,2013,NO,MEDIUM,63.6,0.248944
1091,NO,101.5,93.3,48.2,49.8,19.7,18.1,23.1,28.9,31,28.4,47.1,52.1,33.2,31.3,-6.9,2021,NO,LARGE,72.1,0.087715104
1092,YES,98.3,102,48,47.5,20.2,18.3,34.2,29.3,38.6,39.6,47.6,46.7,32.6,32.4,-7.7,2014,NO,MEDIUM,67.5,0.508607501
1093,NO,93,98.8,47.9,48.3,20.7,19.7,25,28.4,33.6,31.8,45.5,48.7,35.9,31.7,-12.9,2016,NO,MEDIUM,66.9,0.305376858
1094,YES,109.3,102.3,52.7,47.8,19.3,19.3,31.9,31.5,37.5,44.3,48.8,46.6,40.2,33.4,-4.2,2014,NO,LARGE,64.4,0.302650341
1095,NO,91.4,109.2,44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,43.9,49.8,30.6,37.5,-19.3,2015,NO,SMALL,63.6,0.156736156
1096,YES,104.9,102.2,49.9,49.6,18.8,20.1,32.6,26,39,30.4,47.9,46.2,35.8,36.2,-3.3,2015,NO,MEDIUM,61.3,0.721391784
1097,YES,102.2,107.3,49.9,52.6,17,16,27.2,26.7,27.6,29.5,49.4,51.5,34,36.1,-8.8,2020,NO,MEDIUM,69.2,0.516405065
1098,NO,88.4,104,46.1,51.1,22.8,19.2,27.9,32.9,36.3,33.2,43.9,51.1,33.6,34.1,-16.4,2019,NO,SMALL,69.7,0.197617809
1099,YES,106.6,94.7,47.8,48.4,17.2,16.6,32,26.2,32.1,29.8,48.4,50.3,30.8,30.5,1.3,2021,YES,LARGE,66.1,0.578225972
1100,NO,98.6,102.4,47.1,50.6,15.6,19.8,25.9,27.4,36.5,34.8,47.2,50.6,31.3,33.7,-13,2018,NO,MEDIUM,69.9,0.428737322
1101,YES,111.1,105.4,55.1,51,17.2,16.7,29.4,27.9,37.3,32.9,55,49,36.8,36.8,-1.9,2017,NO,LARGE,67.4,0.654646484
1102,YES,112,97.4,51.8,51.4,18.4,20,30.3,24.4,33.7,42.2,48.4,51,38.7,34.8,-0.2,2013,NO,LARGE,66.2,0.588023649
1103,NO,99.9,114.8,48.4,56.1,20.3,20.6,27.6,34.2,40.3,39.7,48.2,56.7,32.6,36.7,-15.5,2020,NO,SMALL,69.6,0.346966465
