Ob,X500.Level,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,WAB,YEAR,NCAA,Power.Rating,Adjusted.Tempo
352,YES,99.8,107.6,47.6,47.6,21.4,18.5,40.1,30.9,34.7,38.9,47.1,46,32.5,33.5,-10.7,2017,NO,SMALL,64.4
353,NO,97,109.9,51,51.2,21.8,16.6,31.1,28.3,32.6,30.1,51.8,48.9,32.9,36.4,-13.8,2018,NO,SMALL,65.9
354,YES,102.8,109.5,54.1,51.7,16.2,20.2,20.5,35.4,29.1,27.3,52.3,51.6,37.3,34.6,-10.1,2018,NO,MEDIUM,66
355,YES,101.8,104.6,49.8,49,19.7,20.4,35.8,28.6,34.2,46.7,47,45.8,36,36.2,-5.3,2018,NO,MEDIUM,68.8
356,NO,95.1,111.6,47,53,19.8,18.1,29.6,29.9,34.1,37.2,45.8,51.5,32.8,36.6,-15.3,2019,NO,SMALL,70.5
357,YES,97.3,104.9,50.7,48.2,20.1,18.5,28.3,29.5,34.4,35.4,50.3,47.7,34.1,32.8,-13,2019,NO,SMALL,72.3
358,NO,94.6,108.8,47.9,52.1,19,17.8,25.1,31.5,33.9,34.8,48.7,51.1,31.2,35.8,-16.9,2019,NO,SMALL,68.7
359,YES,95.2,104.5,48.8,52.2,21,22.2,30.1,27.8,32.2,38.5,47.3,52.2,34.1,34.7,-11.5,2019,NO,SMALL,67.6
360,NO,102.5,101,49.3,49.1,20.1,21.2,34.7,28.2,34.7,55.2,48.4,48.4,34,33.7,-10.6,2015,NO,MEDIUM,65.7
361,YES,106.3,106.8,53.4,50.8,18.6,15.4,30,25.8,31.4,28.8,50,49.4,39.4,35.4,-6.8,2015,NO,MEDIUM,62.5
362,NO,87.6,106.1,43.9,50.4,22.1,18.3,26.5,32.8,40.4,42,40,51.5,34.8,32.7,-19.8,2015,NO,SMALL,64
363,NO,99.3,108.5,49.9,51.4,18,19.5,26.8,34.7,34.4,40.5,48.8,52,34.4,33.5,-12.3,2016,NO,SMALL,67.8
364,NO,96.9,108.7,46.6,52,16.3,18.6,27,34.1,30.9,42.6,43.2,53,34.5,33.3,-18,2016,NO,SMALL,66
365,NO,94.6,108.3,44.8,51.8,19.7,17.6,32.4,29.3,36.9,43.9,44.4,50,30.4,37.2,-16.7,2016,NO,SMALL,67.3
366,YES,106.6,111.2,52.4,50.6,17.8,16,27.6,31.9,44,32.8,51.3,48.5,35.9,36.4,-6,2016,NO,MEDIUM,70.1
367,YES,99.7,103.7,47.8,49.7,17.5,21,29.5,32.4,26.9,39.3,43.5,47.6,36.6,35.9,-11.5,2017,NO,MEDIUM,70.1
368,NO,105.2,108.3,51,55.1,18.5,19.4,35.2,28.1,28.8,42.1,48,51.8,38.7,40.2,-10.3,2017,NO,MEDIUM,69.8
369,YES,104.7,105.6,49.9,54,19.8,22.1,34.7,28.9,35.9,39.9,49,53,34.8,37.1,-7.5,2018,NO,MEDIUM,70.2
370,YES,112.3,103.4,58.8,48.9,18.1,16.9,25.2,25.7,27.9,26.8,61.7,48.1,37.6,33.5,-2.7,2018,NO,LARGE,68.3
371,NO,98,109.2,48.2,55.2,22.1,19.9,31,29.9,36.7,40.9,48.5,56,31.8,36,-14.7,2018,NO,SMALL,69.9
372,NO,95.7,112.1,46.8,56.6,18.7,18.9,28.5,28.5,34.6,39.3,47.6,56.8,30.3,37.5,-16.3,2019,NO,SMALL,70.8
373,NO,96.5,110.3,50.4,52.7,20.2,17.4,25.6,28.3,29.1,33.5,47.4,55.7,36.6,32.3,-15.4,2019,NO,SMALL,69.2
374,NO,104.6,114.3,50.4,57.1,18.8,19.3,31.5,34.7,26.4,27.2,49.9,56.7,34.1,38.5,-13.3,2019,NO,SMALL,69.7
375,NO,97.4,109,49.1,54.3,22.7,20.3,28.7,28.4,36.2,54,49.3,52.6,32.6,38.4,-14.3,2019,NO,SMALL,71
376,YES,107.9,97.1,50.9,50.2,20.7,19.1,31.8,25.1,42.1,34.1,49.9,48.6,35,36.2,-3.8,2015,NO,LARGE,66.3
377,NO,99,97.8,46.8,48,20,19.1,31.5,34.3,33.8,31.2,45.8,47.2,32.9,32.9,-8.9,2015,NO,MEDIUM,68.6
378,NO,106.7,99.9,47.5,52,17.5,19.8,30.8,32.1,45.3,39.9,47.4,49.9,31.8,36.9,-2.6,2016,NO,LARGE,66.7
379,YES,110.1,98.1,48.1,47.9,17.4,20.5,33.4,35.7,41.2,44.6,47.3,47.2,33.1,33.1,-2.2,2016,NO,LARGE,78.2
380,NO,101.1,104,50.7,49.9,19.7,14.7,23.9,29.6,31.1,37.5,50.3,48.2,34.6,35.9,-10.4,2016,NO,MEDIUM,69.7
381,NO,105.9,105.4,50.6,52.8,18.8,16.4,34.9,31.4,30.8,34.7,49.4,49.6,35.4,39.9,-10.9,2017,NO,MEDIUM,72.6
382,YES,110,100,53.3,50.3,17.1,19,31,26.8,31.7,36.3,53.1,48.4,35.7,35.6,-2.3,2018,NO,LARGE,68.6
383,NO,102.9,106.9,48.6,56.9,16.5,20.5,23.3,31.4,34.8,36.1,46.5,56.7,35,38.1,-13.5,2019,NO,MEDIUM,68
384,YES,105.8,95.7,51,48.4,19.1,17.4,30.7,23.6,37.2,31.1,52.3,48.8,32.3,31.8,-3.6,2019,NO,LARGE,69.5
385,YES,110.5,103.7,52.2,50.2,18.3,17.6,30.8,29,36.8,33.5,54.5,46.7,32.1,37.3,-3.9,2019,NO,LARGE,67.2
386,NO,105,108.8,52.8,54.7,19.2,17.1,25.2,29.5,30.3,28.4,51.5,54.9,36.4,36.2,-12.2,2019,NO,MEDIUM,71.8
387,NO,97.4,106.1,50,51,19.1,18.9,29.7,31.5,32,40.7,51.1,49.9,32.2,35.8,-10.9,2015,NO,SMALL,69.9
388,YES,103.2,107.1,49.7,49.9,17.1,14.5,29.6,25.9,40.3,38.4,46.2,47.7,38.1,36.6,-8.4,2015,NO,MEDIUM,64.8
389,YES,98.6,105.2,49.7,49.4,18.5,16.4,31,26.8,31.7,32,49.3,48.2,33.4,34.9,-9.3,2016,NO,MEDIUM,73.3
390,YES,101.7,107.4,52.2,50,19.6,17.1,26.5,28.1,37,33.9,51,50,36.1,33.3,-10,2016,NO,MEDIUM,70.6
391,NO,102.5,111.9,52.5,53.2,18.4,19.4,26.6,30.6,29.9,41.8,50.3,51.4,37,37.5,-12.3,2016,NO,SMALL,65.7
392,YES,104.1,105,52.1,51.1,19.3,18.6,29.1,29.3,31.7,28.8,48.5,48.8,39.3,36.4,-9.6,2016,NO,MEDIUM,68.8
393,YES,98.8,102.2,49.5,48.9,19.9,20.3,32.6,27.2,42.8,39.4,50.8,45.9,30.5,35.4,-10,2016,NO,MEDIUM,65.7
394,NO,97.4,102.3,50.4,53.3,17.8,25.7,19.4,32.4,34.4,30.4,49.3,54.9,34.5,34.3,-10.8,2017,NO,MEDIUM,61.6
395,NO,97.1,103.7,46.7,52.2,22,21.3,33,28,39.2,35.9,45.3,53.2,33.2,33.4,-10.6,2017,NO,MEDIUM,67.2
396,NO,96.5,111.1,50.7,54.8,20.4,20.4,23.8,31.4,30.4,40.7,50.7,53.6,33.8,38.3,-19,2018,NO,SMALL,67.6
397,NO,99,108.2,52.3,52.4,18.8,19.7,27.1,27.6,24.5,38.1,48.8,51.1,38.1,36.2,-13.5,2018,NO,SMALL,71.5
398,NO,99.3,107.1,52.8,52.8,20.1,20.1,28.3,29.6,32.8,30,51.1,52.2,37.3,35.8,-11.6,2018,NO,SMALL,68.7
399,NO,97.7,107.2,52.6,51,19.1,20,19.3,31.9,29.7,34,55.1,49.4,32.6,35.4,-15,2018,NO,SMALL,64
400,YES,105.2,111,52.9,52.4,17.4,16,25.3,26.8,25.8,30.7,47.7,53.1,40.6,34.3,-9.7,2018,NO,MEDIUM,71.9
401,NO,101.7,103.5,53.2,48.2,18.7,17.7,26.1,27.4,35.8,34.8,55.6,50,32.5,29.2,-11.3,2019,NO,MEDIUM,67.9
402,NO,95.8,102.1,49.6,53.3,16.5,18.7,21.6,22.9,24.3,28.4,51,53.4,31.8,35.4,-14,2019,NO,MEDIUM,71.2
403,YES,104,103.5,53,49.2,17.3,16.6,25.8,27.6,33.9,32.4,53.3,48.8,35.1,33.3,-5.5,2019,NO,MEDIUM,71.9
404,NO,95.8,106.2,45.6,50.6,20.6,17.2,31.4,29.8,33.6,37.6,44.5,51.5,31.6,32.3,-11.7,2015,NO,SMALL,65.8
405,NO,99.1,107.4,45.8,47.1,18,14.9,28,31.2,40.1,38,45.1,43.5,31.5,35.6,-13.9,2016,NO,SMALL,73.3
406,NO,99.7,99.8,48.5,47.9,18,21.2,24.5,31,37.5,41.3,47.1,47,34.8,32.8,-8.6,2016,NO,MEDIUM,65.4
407,NO,98.5,102.9,46.6,49.6,17.8,20.8,29.8,30.6,37.7,35.6,46,47.9,32.1,35.1,-11.1,2016,NO,MEDIUM,64.2
408,NO,97.8,106.6,45.7,51.1,16.7,17.8,29.4,31.5,37.2,35.8,44.8,49.5,31.5,36,-15.3,2016,NO,SMALL,69.4
409,YES,106.1,98.7,49.2,47,18.7,20.1,36.3,26.2,34.4,43.3,49.5,44.4,32.5,33.7,-3.9,2016,NO,LARGE,73.2
410,NO,99.3,107.5,47.4,52.8,19.4,16.9,28.9,27.2,37.1,44.8,46.3,50.5,32.7,39,-14.8,2017,NO,SMALL,71.7
411,YES,103,99.8,53,49,20,19.8,29.9,29.1,33.9,40,53.3,49.4,35,32.4,-5.9,2017,NO,MEDIUM,69.6
412,NO,97.9,105.7,47.7,50.5,19.4,16.5,29.5,29.4,26,34,47,49,32.5,35.5,-17.9,2017,NO,SMALL,66.4
413,NO,98,105.3,48.4,52.2,18.4,22.4,27.2,31.7,38.3,40.4,49,51,31.7,36.2,-12.9,2017,NO,MEDIUM,71
414,YES,101.3,100.2,50.5,47.7,18.2,19.9,28.2,29.6,36.8,36.1,50.1,47.4,34.1,32.1,-8.3,2017,NO,MEDIUM,63.5
415,YES,104.8,104,49.2,49.7,16.1,20.3,30.3,31.9,38.2,35.2,48.4,50.4,33.6,32.4,-6.5,2018,NO,MEDIUM,69.9
416,NO,93.4,105,47.4,50.8,21.7,19.9,28.3,31.2,32.1,40.5,47.3,49.4,31.8,35.1,-18,2018,NO,SMALL,66.2
417,NO,99.7,104.2,48.8,51.7,20.9,19.4,31.9,27.7,36.3,30,48.4,53.1,33.1,33,-12.9,2018,NO,MEDIUM,64
418,NO,102.4,108.8,47.2,51.6,19.4,17.1,33.7,29.8,37.9,43.7,46.5,50.2,32.3,36,-12.6,2019,NO,MEDIUM,69.6
419,YES,106.4,104.2,51.8,51,19.6,18,32.7,28.6,39.4,42.3,49.4,53.1,37,32.3,-9.9,2019,NO,MEDIUM,70.9
420,YES,106.3,106.5,50.9,53.2,17.4,20,29.1,31.9,35.1,36.9,50.5,52.3,34.2,36.6,-6.5,2019,NO,MEDIUM,73.4
421,YES,111.3,108.6,54,52.9,16.2,17.4,26.9,29,35.8,28.4,49.6,52.7,39.7,35.4,-7.4,2019,NO,MEDIUM,67.6
422,YES,102.8,106.6,52.9,52.1,19.5,19.7,25.5,31.9,35.1,36.6,51.1,51.3,37,35.6,-10.9,2019,NO,MEDIUM,67.7
423,YES,101,98.5,50,48.5,19.6,20.7,33.2,24.7,34.4,39.5,50.8,49.2,32.4,31.6,-3.3,2019,NO,MEDIUM,66.4
424,NO,100.8,108.1,51,52.7,19.9,17.1,27.2,31.1,31.7,32.8,51.7,50.1,33.2,37.8,-11.8,2019,NO,MEDIUM,68.5
425,YES,100.5,98.9,47,48,20.3,18.1,31,28,34.5,38,47.9,50,30.5,29.9,-7.5,2019,NO,MEDIUM,67.9
426,NO,101.1,104.5,49.8,51.3,18.7,21.4,29.6,33,39.8,42.3,45.5,49.5,36.7,35.8,-9,2015,NO,MEDIUM,67.9
427,NO,97.6,109.5,49,52.3,21.1,16.5,29.5,32.3,44.1,36.5,48.9,51.3,32.8,36,-16.2,2015,NO,SMALL,62.8
428,NO,101.4,120,51.7,55.1,21.7,15.9,31.3,34.6,38,29.6,46.8,56.5,40.2,35.1,-14.7,2015,NO,SMALL,59.1
429,NO,98.8,106.2,49.7,50.8,18.8,18.2,30.6,29.7,31.3,48.5,47.6,49.7,36.1,35.2,-17.2,2015,NO,MEDIUM,66.1
430,YES,103,106.3,51.5,50.8,20.5,19.2,32.1,28.8,43.3,38,54.2,49.9,31.9,35,-10.1,2016,NO,MEDIUM,65.9
431,NO,101.1,108.1,50.1,51.4,19.6,20.9,29.4,32.5,44.7,42.9,51,48.9,31.9,37,-14.8,2016,NO,MEDIUM,68.9
432,NO,100.9,117.3,48.8,57.6,16.9,19.3,26.7,35.8,31.1,44.4,50.1,59.8,31.7,35.2,-17.8,2016,NO,SMALL,81.9
433,NO,101.4,106.3,51.3,51.9,17.7,17.4,27.1,27.5,28,38.5,49.1,49,36.3,37.4,-12.7,2016,NO,MEDIUM,68.3
434,NO,96,110.8,47.1,53,18.5,18.7,26.3,34,27,41.4,45.7,51.2,32.5,37.4,-16.1,2016,NO,SMALL,69.3
435,NO,104.9,107.5,51.7,54,18,17.6,26.2,25.9,38.4,41.5,45.8,54.3,40.9,35.5,-10.4,2016,NO,MEDIUM,66.2
436,YES,106.2,100.9,54.9,49.4,19.2,19.5,27.2,27.1,32.1,33.7,53.3,50.9,38.1,31.6,-4.8,2017,NO,LARGE,67.4
437,YES,106.5,103.9,52.4,50.2,19.9,19.4,34.3,30.4,30.1,34.8,50.4,47.6,37,36.4,-2.6,2017,NO,MEDIUM,68.3
438,NO,96.7,112.4,48.1,56.7,18.9,17.9,26.6,32.3,29.5,39.7,48.2,54.2,32,40.7,-17.3,2017,NO,SMALL,70.1
439,NO,89.2,103.6,43.1,52.9,23.2,19.1,31.5,29,27.7,46.6,41.9,52.1,30.4,36,-15.2,2017,NO,SMALL,68.5
440,NO,98.3,111.5,50.1,55.3,20.6,19.2,26.6,27.8,34.6,27.9,48.6,55.8,34.8,36.2,-17.5,2018,NO,SMALL,66.7
441,YES,103.5,97.5,53.8,47.1,19.7,20.6,30.7,27.7,33.1,33.4,54.8,46.4,34.7,32,-3.1,2018,NO,LARGE,68.9
442,YES,108.1,100.8,54.9,50.1,16.5,20.6,27,28.6,28.2,29.9,56.8,51.4,35.3,32,-4,2018,NO,LARGE,69.7
443,YES,108,107.8,55.2,53.3,18.2,18.7,25,27.1,28.5,34,50.9,52.4,40.2,36.4,-5.9,2018,NO,MEDIUM,67.1
444,YES,107.7,96.6,55.4,47.9,18.4,20.1,28.7,30,24.9,24.2,56.7,48.6,36,31.2,-0.4,2019,NO,LARGE,68
445,NO,101.2,111.9,50.1,56.9,16.5,16.9,21.7,27.6,29.2,32,47.6,56.8,35.4,38.1,-13.1,2019,NO,SMALL,73.1
446,YES,110.1,98.2,50.7,47.4,18.7,18.9,29.6,32,43.7,39.5,52.3,46.5,32.2,32.6,-1.7,2015,NO,LARGE,62.8
447,NO,105.8,89.4,49.6,46,19.6,21.6,31.7,29.1,31.4,37.8,50.3,44.6,32.4,32.8,-2.9,2015,NO,LARGE,62.7
448,NO,99.6,97,47.5,48,23.3,18.9,32.3,31.1,46.4,36.5,47.9,47,31.1,33.2,-9,2015,NO,MEDIUM,64.1
449,NO,104.5,92.2,45.2,44.8,19.6,21,34.6,31.5,37.3,44.5,45.2,43.2,30.1,31.7,-3.6,2015,NO,LARGE,64.9
450,NO,107.5,101,48.2,51.9,19.7,22.6,37,33.3,32.3,43.5,47.4,49.1,33.1,37.1,-3.3,2015,NO,LARGE,60.8
451,NO,109.5,99,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,46.1,47.7,39.7,35.9,-4.6,2016,NO,LARGE,71
452,NO,100.4,102.4,47.3,50.5,18.9,17.8,27.9,32.3,41,40.1,44.3,49.6,34,34.8,-8.3,2016,NO,MEDIUM,72.5
453,YES,108,96.4,48.1,45.5,19.2,15.6,32.4,29.8,43.5,41.1,44.8,42.8,36.8,33.1,-0.8,2016,NO,LARGE,67.9
454,NO,102.9,102.6,47.2,49,18,16,26.8,29.8,39.6,40.8,47.6,48,31,33.6,-9.5,2016,NO,MEDIUM,68.9
455,YES,112.4,102.5,51.1,50.6,17.9,19.9,30.3,33.3,42.5,38.8,48.5,48.7,36.6,35.7,-2.4,2017,NO,LARGE,75.2
456,NO,101.3,100,45.2,49.6,16.9,19.2,28.2,30.2,38.7,42.6,45,48.3,30.4,34.4,-12.5,2017,NO,MEDIUM,69.7
457,YES,109.3,96.3,46.8,48.6,17.4,19.3,31.8,30.1,42.9,43.3,46,46.2,32.4,35.5,-2.2,2017,NO,LARGE,70.8
458,YES,104.7,94.8,46.2,49.3,19.7,21,33.6,27.5,42.8,43.1,43.5,48.7,33.8,33.5,-3.1,2018,NO,LARGE,69.8
459,NO,114.7,105.9,51.8,52.4,17.7,14.7,28.6,27.7,36.2,36.5,50.8,50.7,35.3,37.4,-6,2018,NO,LARGE,67
460,NO,105,100,50.1,48.5,22.5,15.5,32.7,31,41.3,29.9,51.1,47.8,32.2,33.2,-7.4,2019,NO,LARGE,70.2
461,NO,107.3,95,50.5,49.4,21,18.1,31.9,25.7,29.8,38.1,47.6,50.6,36.3,31.9,-3,2019,NO,LARGE,66.1
462,NO,89.1,116.3,48.8,55,25.6,18.3,28,36.7,39.3,42.5,46.5,54.4,35.3,37.6,-23,2015,NO,SMALL,69.9
463,NO,97.4,107.6,49.7,52.8,23.4,20.4,34.6,32.9,41.9,46,50.7,50.8,31.9,37.6,-9.9,2015,NO,SMALL,66.5
464,NO,99.2,110.4,46.4,51.9,16,18.5,33.7,34.4,30.9,34.9,45.9,53.1,31.6,33.1,-11.2,2015,NO,SMALL,63.3
465,NO,89.6,105.5,47.8,50,25,20.3,30.1,34.5,42.4,50.7,48.4,48.3,31.2,35.7,-13.9,2015,NO,SMALL,66.8
466,NO,94.4,107.1,50.9,50.4,22.5,19.4,29.1,32.2,32.5,33.9,53,48.6,31.2,35.8,-17.5,2015,NO,SMALL,66.8
467,NO,96.3,111.8,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,-14.4,2016,NO,SMALL,68.4
468,NO,99.8,117.8,49.9,53.8,19.7,15.8,31.3,29.8,41.9,38.7,47.4,51.5,37.2,38.7,-16,2016,NO,SMALL,72.9
469,NO,95.3,112.8,47.4,52,20.5,19.4,33.4,31.9,42.6,46.6,46.7,51.4,32.6,35.6,-15.9,2016,NO,SMALL,72.8
470,NO,97,114.5,46.7,52.3,17.7,16.1,28.1,33,36.2,37.7,44.9,50.8,33.2,37.3,-14.1,2016,NO,SMALL,69.3
471,NO,95.3,111.8,45.1,52.9,19.7,21.4,34.8,33.5,43.2,43,43.8,51.5,32.5,37,-16.5,2016,NO,SMALL,72.7
472,NO,91.2,107.2,47.1,50.8,22,18.2,25,34.5,40.4,39.7,47.7,49.3,30.9,35.9,-16.7,2016,NO,SMALL,69.8
473,NO,100.8,118.2,50.2,55.1,19.5,18.6,27.3,38.6,35.2,36.1,49.5,54.8,34.3,37.1,-14.4,2016,NO,SMALL,74.2
474,NO,96.2,112.1,51.1,52.1,21.5,19.1,29.4,33.6,37,41.9,49.1,49.5,36.5,37.5,-15.8,2016,NO,SMALL,69
475,NO,95.6,110.2,47.5,50.6,19.8,17.9,25.4,36.2,34.4,39.1,46.2,49.7,33.4,35.1,-16,2017,NO,SMALL,71.6
476,YES,100,112.5,50.1,53.9,20.8,19.2,29.6,32.4,41,39.4,47.9,52.5,36.3,37.8,-12,2017,NO,SMALL,72.3
477,YES,95.8,102.9,47.1,50,19.3,22.2,31.6,27.4,36.3,48.2,47.7,48.8,30.6,34.7,-8.6,2017,NO,MEDIUM,71.6
478,YES,96.3,103.1,50.2,49,22.8,21.6,35,30.8,37,39.6,48.3,47.6,36.1,34.5,-11.9,2017,NO,MEDIUM,68.8
479,YES,95.4,102.9,49.2,52.1,24.8,22.9,34.7,28.4,40.6,44.4,50.3,52,31.4,34.9,-9.5,2017,NO,SMALL,67.6
480,YES,102.3,102.3,51.3,51.6,18.8,23,29.3,31.1,37.1,41.2,52.1,51.3,32.8,34.6,-6.5,2017,NO,MEDIUM,69.6
481,NO,94.5,113.9,47.6,52.5,23.2,17.7,26.9,35.4,41.1,33.8,45.4,50.6,34.6,37.6,-16.5,2018,NO,SMALL,70.6
482,YES,101.1,105.1,48.5,51.7,17.9,21.9,31.7,27.8,36.3,38.3,46.7,51.3,34.4,35,-9.7,2018,NO,MEDIUM,68.8
483,NO,99.2,111,48.8,49.8,19,15.2,29.3,33.3,32.7,31.5,47.3,48.4,34.6,35,-12.6,2018,NO,SMALL,71
484,YES,101.8,103.8,51.9,50.2,20.4,21.1,30.5,30.6,37.3,45.2,51.6,49.7,34.8,34.1,-6.3,2018,NO,MEDIUM,75.2
485,YES,102.7,104.8,51.2,49.6,19.6,20.3,29.5,33.6,35.3,29,50.9,48.4,34.4,34.6,-6.5,2018,NO,MEDIUM,67.2
486,NO,97.2,119.2,51.9,59.3,24.1,19.7,23.1,32.7,34.8,39.1,51.4,61.2,35.1,37.6,-20.2,2019,NO,SMALL,66.4
487,YES,96.2,105.2,48,50,21.8,22.5,32.8,34.2,36,40.4,47.2,50.5,33.3,32.7,-8.7,2019,NO,SMALL,69.7
488,YES,105.6,106.4,51.8,51.2,18.3,21.2,29.7,28.6,26,43.3,48.6,51.4,37.5,34,-6.7,2019,NO,MEDIUM,67.7
489,YES,98.9,105.4,50.4,50.2,24.1,20.9,32.5,28.2,37.2,39.3,50.4,50.6,33.6,32.9,-10.8,2019,NO,MEDIUM,66.8
490,NO,93.9,104.1,47.9,48.6,22.3,20.1,31.1,27.5,29.8,41.7,47.6,46.1,32.3,34.9,-13.7,2019,NO,SMALL,66.3
491,NO,103.5,107.5,56.2,52.9,19.1,20.4,19.3,29.6,31.2,51.2,55.5,51.7,38,37.1,-12.5,2015,NO,MEDIUM,57.9
492,NO,89.4,106.8,45.3,50.7,18.3,16.7,20,28.9,30.3,37.1,41.2,49.4,35.2,35.5,-15.4,2015,NO,SMALL,67
493,YES,102.2,103.7,55.7,52,20.8,22.7,20,31,36.6,43.3,54.3,49.9,38.3,37.2,-10.2,2016,NO,MEDIUM,62
494,YES,100.1,99.8,49.9,47.7,16.2,16.9,25.6,26.2,33.9,31.8,49.1,47.2,34.1,32.4,-7.2,2016,NO,MEDIUM,65.4
495,NO,106.4,107,50.5,52.1,17.3,15.9,28.1,30,36.6,33,48,50.2,38,37.4,-9.4,2016,NO,MEDIUM,69.8
496,NO,104.7,109.9,51.7,54.2,16.4,19,25,30.2,30.1,40.9,50.5,50.9,36.4,39.8,-11.6,2016,NO,MEDIUM,71.5
497,YES,107.1,106.7,56.4,53.5,17.8,17.8,28.8,24.6,25.8,32.3,54.9,49.9,39,39.1,-6.9,2017,NO,MEDIUM,72.9
498,NO,105.4,109.1,51.6,54.4,16.8,19,29.6,29.4,33.2,43.3,48.5,54.1,37.8,36.6,-11.3,2017,NO,MEDIUM,70.9
499,YES,106.8,108,52.3,54,18.3,19.3,28.9,31.3,40.6,33.7,49,53,38.4,37,-7.2,2017,NO,MEDIUM,75.1
500,YES,102.7,104.5,52.2,50.4,16.9,17.2,25,28,39.7,31.3,50.8,46.7,36.3,37.8,-6,2017,NO,MEDIUM,68.2
501,NO,103,109.4,49.6,54.7,16.7,16.1,25,29.4,30.6,32,47.9,51.8,35.4,39.6,-15,2017,NO,MEDIUM,70.7
502,YES,102.8,102.9,49.6,50.8,16.2,18.5,27.5,27.3,42.7,31.9,48.8,47.7,34.2,37.5,-5.7,2017,NO,MEDIUM,72.1
503,NO,96.7,107.9,50.4,51.2,18.4,13.8,18.9,25.4,29,40.7,45.1,46.2,38.7,41.5,-15.3,2017,NO,SMALL,70
504,YES,102,105.2,52.4,51.3,21.8,15.7,30.6,24.9,32.8,37,49.2,52,39.5,33.5,-9.6,2018,NO,MEDIUM,67.5
505,NO,96.4,106.1,49.9,51.2,18.6,14.5,18,27.2,28.3,29.3,48.6,48.9,34.9,36.6,-11,2018,NO,SMALL,69.2
506,YES,106.5,107.1,55.8,54,16.8,17.1,23.1,28.6,26.9,25,55.8,52,37.2,38,-9.5,2019,NO,MEDIUM,73.1
507,YES,108.4,109.5,54.4,55,13.5,16.8,24.8,25.6,24.1,27.1,51.8,55.2,39.3,36.5,-4.6,2019,NO,MEDIUM,69.5
508,NO,100.2,104.9,50.1,51.7,16.1,17.4,21.5,25.6,35.9,35.2,49.6,50.7,33.9,35.8,-11.7,2019,NO,MEDIUM,68.3
509,NO,96.9,106.8,49.8,52.2,16.3,14.5,22.6,25.5,23.2,28.1,45.9,48.4,38.2,38.9,-16,2019,NO,SMALL,68.7
510,NO,88.6,102.5,42.9,48.6,21.9,22.7,37.7,28.1,32.9,54.1,43.7,47.2,27.4,34.1,-16.9,2015,NO,SMALL,64.2
511,NO,89,116.3,42.7,54.5,20.9,20.8,30.1,39.7,33,36.7,41.7,55.1,30.3,35.5,-20.8,2015,NO,SMALL,71.1
512,NO,90.9,102.6,45.1,44,20.1,20.6,32.1,34.7,40.5,45.6,44.9,43.7,30.6,29.8,-11.7,2015,NO,SMALL,65.1
513,NO,98.3,113.6,46.6,50.5,17.6,17,31.6,31.7,38.4,39.5,49,51.7,28.4,32.1,-15.1,2016,NO,SMALL,66.2
514,NO,85.9,110.5,43.8,50.8,21.7,20,24.9,32.5,44.2,41.4,45.3,51.5,27.4,33.1,-19.7,2016,NO,SMALL,66.9
515,NO,88.3,107.1,41.8,50.7,21.8,23.4,30.7,36.3,36.4,47.4,42.1,53,27.3,30.6,-18.3,2016,NO,SMALL,69.7
516,NO,90.2,114.1,44.3,50.3,22,18,34.5,31.8,34.6,42.6,44.4,49.7,29.4,34.5,-19.2,2017,NO,SMALL,70
517,YES,94.1,106.7,47.9,47.3,20.4,18.6,31.9,31.2,32.8,39.8,47.9,48.3,32,30.2,-9.7,2017,NO,SMALL,69
518,NO,84,110.8,46,52.2,25.9,23.5,29.9,35.4,32.8,58.5,42.9,54.3,34.4,32.6,-20.2,2017,NO,SMALL,69
519,YES,93.2,106.4,45.6,49.1,21,20.2,32,30.5,40.7,42.9,44.5,50,32.6,31.7,-10,2018,NO,SMALL,73
520,NO,89.2,108.2,43,51.8,17.3,21.4,30.7,31.7,24.9,46.6,39.3,51.5,32.8,34.9,-16,2018,NO,SMALL,64.9
521,NO,93.6,111.7,46.1,53,21,21.2,31.6,32.4,37.4,36.9,44.7,53.6,32.1,34.7,-13.7,2019,NO,SMALL,68.5
522,YES,102.8,109,50.8,51.6,19.8,19.9,32.5,31.7,40.8,32.6,52.2,51.1,32.1,35,-6.6,2019,NO,MEDIUM,75.8
523,NO,87.8,106,42.3,52.8,23.5,22.3,33.6,33.3,27.1,53.9,40.6,50,30.2,38.1,-17.7,2015,NO,SMALL,63.5
524,YES,103.1,100.7,49.8,48.1,16.9,19.1,32,27.3,41.5,35.1,48.3,48.4,35.6,31.7,-1,2016,NO,MEDIUM,69.5
525,YES,101.3,95.9,50.2,44.8,20.2,16.2,36,25.1,36.9,28.4,50.7,42.3,32.5,33.5,-4.1,2016,NO,LARGE,66.4
526,NO,94,104.9,47.5,49.1,23.1,18.9,32.5,31.3,36,34.9,44.7,47.7,35.5,33.9,-11.2,2016,NO,SMALL,66.7
527,YES,100.4,98.1,48.4,47.8,18.2,20.9,29.1,27.9,42.1,31.6,47.8,47.3,33,32.5,-3.2,2017,NO,MEDIUM,70.4
528,YES,99.5,98.6,50.9,47.7,20.4,17.4,23.8,24.7,37.3,35.2,52.9,47.1,32.3,32.6,-9.9,2017,NO,MEDIUM,74.3
